Tue Nov 30 09:53:37 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   37C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000058-42859-0.png - Prediction COVID-19
Rank 3 - Image b6db3041-1554-43ef-baca-58733b6717d6.png - Prediction normal
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction COVID-19
Rank 2 - Image 153b7c2b-4909-4dca-8579-9523582bc4fe.png - Prediction normal
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000149-71428-1.png - Prediction COVID-19
Rank 3 - Image a0a8370a-dc3f-4f70-a440-e3fa9827928a.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction COVID-19
Rank 2 - Image 1afd6582-da9d-4e5a-a81f-62a188fe9366.png - Prediction normal
Rank 1 - Image MIDRC-RICORD-1C-419639-002281-83348-0.png - Prediction COVID-19
Rank 3 - Image 1dad3414-88c9-4c56-af5d-3a1488af452c.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction normal
Rank 1 - Image MIDRC-RICORD-1C-419639-002733-79941-0.png - Prediction COVID-19
Rank 2 - Image 85bb48fe-e6d6-47de-bb71-d1636aced7dc.png - Prediction normal
Rank 3 - Image f760c946-a103-4991-a6e5-ff60c24cd99f.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-81112-0.png - Prediction COVID-19
Rank 2 - Image eaeb935a-7294-4dd3-8bf5-73ba781d28af.png - Prediction normal
Rank 3 - Image b021293c-4dd0-450c-b1a4-2d72cedab0a2.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-003186-86346-0.png - Prediction COVID-19
Rank 2 - Image 5f137fa7-6539-499e-b0d5-0e481221bf5a.png - Prediction pneumonia
Rank 3 - Image 349f10b4-dc3e-4f3f-b2e4-a5b81448ce87.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000237-52517-0.png - Prediction COVID-19
Rank 2 - Image b5234584-1487-492c-8742-444b9ca41c3d.png - Prediction normal
Rank 3 - Image 05d3817a-5535-4e77-8dda-d4412e496c81.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000002-65816-0.png - Prediction COVID-19
Rank 2 - Image 71d8d6ec-253b-4272-a467-311828b2a35b.png - Prediction normal
Rank 3 - Image c21157da-1f74-4966-ba4e-c144d8f5da2d.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-39552-1.png - Prediction COVID-19
Rank 2 - Image 0103fadb-1663-40a6-8a9e-09d626cd2091.png - Prediction normal
Rank 3 - Image 5acc56a4-1b6e-4394-9364-9772047d583f.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-000082-79663-0.png - Prediction COVID-19
Rank 2 - Image e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png - Prediction normal
Rank 3 - Image dd4d6a4c-1e67-4911-bda2-7d8af75b1b19.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000135-64564-1.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000094-94497-0.png - Prediction COVID-19
Rank 2 - Image 2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png - Prediction normal
Rank 3 - Image f0ba0019-718f-4677-a723-05c27dba2f3e.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000147-13199-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000131-16046-1.png - Prediction COVID-19
Rank 2 - Image bc46651a-1314-44af-a834-1eb8a36e589e.png - Prediction normal
Rank 3 - Image cc3177c8-6570-497c-aef3-6fbddef692f6.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-002601-92699-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-002309-84923-0.png - Prediction COVID-19
Rank 2 - Image 71d25920-4060-4a31-b7aa-cfbf4721a5c5.png - Prediction normal
Rank 3 - Image 0e03c2d7-9cea-4dc7-8e91-794a8b3ff58d.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-002310-52924-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-419639-002768-13069-0.png - Prediction COVID-19
Rank 2 - Image ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png - Prediction normal
Rank 3 - Image 070c921f-171c-420c-915b-e49e3f600c38.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000171-45676-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000108-12642-0.png - Prediction COVID-19
Rank 2 - Image dab2f334-331c-42c7-af09-a997092464b0.png - Prediction pneumonia
Rank 3 - Image caa545b4-4eea-4e3a-90b1-c4c0789a1109.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-56001-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000170-25974-1.png - Prediction COVID-19
Rank 2 - Image 436dce2a-06c3-4281-bb8e-840497a49381.png - Prediction pneumonia
Rank 3 - Image 7817b551-d220-479b-815f-395f83e1dba1.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-003340-85716-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000097-16347-1.png - Prediction COVID-19
Rank 2 - Image af6ef3d9-81c8-434e-bc5a-dbf89bc418aa.png - Prediction normal
Rank 3 - Image f743c21e-5876-460b-bbd6-2e2dcca41baa.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-003257-00787-0.png - Prediction COVID-19
